subject,general white matter,general grey matter,general csf,cerebellum,brainstem,thalamus,putamen+pallidum,hippocampus+amygdala
29072_anat,0.8761,0.8105,0.7180,0.8914,0.8950,0.8588,0.9336,0.8973
29073_anat,0.8612,0.8154,0.6796,0.8802,0.8917,0.8410,0.9438,0.8922
29074_anat,0.8841,0.8137,0.7072,0.8771,0.8912,0.8507,0.9347,0.8885
29075_anat,0.8810,0.8091,0.8152,0.8828,0.8869,0.8643,0.9200,0.8857
29076_anat,0.8742,0.7909,0.8354,0.9012,0.9066,0.8712,0.9197,0.8789
29077_anat,0.8918,0.8153,0.7027,0.8896,0.8869,0.8517,0.9555,0.8984
29078_anat,0.8837,0.8096,0.6951,0.8830,0.8886,0.8541,0.9456,0.9129
29079_anat,0.8759,0.7839,0.8343,0.8821,0.8922,0.8734,0.9476,0.9005
29080_anat,0.8861,0.7986,0.7257,0.8672,0.8769,0.8550,0.9482,0.8936
29081_anat,0.8519,0.7945,0.7497,0.8592,0.8427,0.8515,0.9319,0.8732
29082_anat,0.8816,0.7935,0.7951,0.8780,0.8886,0.8704,0.9336,0.9074
29083_anat,0.9005,0.7919,0.7757,0.8696,0.9004,0.8649,0.9425,0.9078
29084_anat,0.8799,0.7995,0.8135,0.8944,0.8978,0.8876,0.9593,0.9190
29085_anat,0.8720,0.7803,0.7446,0.8901,0.8780,0.8613,0.9240,0.9024
29086_anat,0.8703,0.7792,0.7457,0.8770,0.9065,0.8574,0.9372,0.9050
29087_anat,0.9036,0.8109,0.7376,0.8647,0.8920,0.8565,0.9194,0.8843
29088_anat,0.8786,0.8035,0.7869,0.9066,0.9073,0.8795,0.9405,0.8984
29089_anat,0.8688,0.7865,0.7411,0.8875,0.8975,0.8384,0.9253,0.8930
29090_anat,0.8501,0.7788,0.8587,0.8971,0.9204,0.8684,0.9073,0.8821
29091_anat,0.8645,0.7906,0.8564,0.9185,0.9038,0.8738,0.9185,0.8644
29092_anat,0.8700,0.7982,0.7767,0.8991,0.8981,0.8655,0.9314,0.9045
29093_anat,0.8884,0.8148,0.7807,0.8923,0.8936,0.8681,0.9523,0.8950
29094_anat,0.8446,0.7919,0.7387,0.8934,0.8854,0.8509,0.9139,0.8889
29096_anat,0.8621,0.8103,0.8384,0.8906,0.8960,0.8723,0.9245,0.8767
29097_anat,0.8674,0.7797,0.7486,0.8521,0.8493,0.8585,0.9035,0.8571
29098_anat,0.8559,0.8031,0.7734,0.8766,0.8566,0.8437,0.9023,0.8570
29099_anat,0.8657,0.7844,0.7136,0.8745,0.8425,0.8499,0.9387,0.8668
29100_anat,0.8592,0.8041,0.8868,0.8966,0.8836,0.8582,0.8938,0.8526
29101_anat,0.8651,0.8162,0.7587,0.8690,0.8640,0.8368,0.9284,0.8781
29102_anat,0.8421,0.7720,0.8012,0.8892,0.8806,0.8384,0.9042,0.8410
29103_anat,0.8537,0.7701,0.7252,0.8611,0.8775,0.8541,0.9499,0.8744
29104_anat,0.8907,0.8001,0.7672,0.8656,0.8854,0.8853,0.9540,0.8884
29105_anat,0.8831,0.8133,0.7769,0.8762,0.8675,0.8623,0.9035,0.8747
29106_anat,0.8683,0.8066,0.8139,0.8649,0.8810,0.8738,0.9290,0.9086
29107_anat,0.8620,0.7908,0.6947,0.8905,0.9054,0.8651,0.9384,0.8951
29108_anat,0.8681,0.8087,0.8473,0.8806,0.9007,0.8639,0.9263,0.8784
29109_anat,0.8592,0.8068,0.7989,0.8876,0.8789,0.8728,0.9224,0.8617
29110_anat,0.8337,0.7749,0.7554,0.8849,0.8858,0.8600,0.9150,0.8610
29111_anat,0.8659,0.8006,0.8220,0.8687,0.8950,0.8801,0.9220,0.8744
29112_anat,0.8649,0.8140,0.7240,0.8778,0.8450,0.8348,0.8804,0.8666
29113_anat,0.8761,0.8281,0.8016,0.8917,0.8752,0.8815,0.9271,0.8707
29114_anat,0.8835,0.7991,0.7391,0.8985,0.8917,0.8486,0.9299,0.9044
29115_anat,0.8639,0.7927,0.8006,0.8607,0.8746,0.8601,0.9364,0.8983
29116_anat,0.8747,0.8013,0.8247,0.8754,0.8546,0.8543,0.9280,0.8906
29117_anat,0.8789,0.7965,0.6848,0.8585,0.8650,0.8332,0.9242,0.8785
29118_anat,0.8707,0.8095,0.7847,0.8936,0.8599,0.8513,0.9215,0.8632
29119_anat,0.8683,0.8044,0.6762,0.8884,0.8617,0.8297,0.9359,0.8680
29120_anat,0.8828,0.8071,0.8726,0.8782,0.8901,0.8718,0.9119,0.8808
29121_anat,0.8709,0.7861,0.7567,0.8643,0.8466,0.8566,0.9071,0.8487
29122_anat,0.8736,0.7921,0.7366,0.8610,0.8442,0.8438,0.8977,0.8677
29123_anat,0.8544,0.7955,0.8479,0.9012,0.8658,0.8492,0.9273,0.8582
29124_anat,0.8664,0.7955,0.7406,0.9078,0.8728,0.8310,0.9244,0.8691
29125_anat,0.8544,0.7970,0.7681,0.8861,0.9044,0.8370,0.9068,0.8487
29126_anat,0.8625,0.8138,0.8111,0.8797,0.8616,0.8579,0.9175,0.8394
29127_anat,0.8673,0.8002,0.8071,0.8752,0.8842,0.8689,0.9358,0.8749
29128_anat,0.8673,0.8046,0.8377,0.8741,0.8762,0.8682,0.9259,0.8737
29129_anat,0.8708,0.8006,0.7034,0.8505,0.8559,0.8420,0.9091,0.8708
29130_anat,0.8906,0.7940,0.7491,0.8823,0.8865,0.8698,0.9484,0.8995
29131_anat,0.8783,0.8023,0.7680,0.9029,0.8731,0.8593,0.9345,0.8853
29132_anat,0.8783,0.8074,0.7366,0.8333,0.8379,0.8440,0.9133,0.8604
29133_anat,0.8813,0.7906,0.8088,0.8832,0.8827,0.8785,0.9392,0.8918
29134_anat,0.8651,0.8114,0.7160,0.8955,0.8703,0.8411,0.9180,0.8647
29135_anat,0.8813,0.7989,0.8391,0.8788,0.8888,0.8706,0.9347,0.8613
29136_anat,0.8745,0.8078,0.8625,0.8867,0.9028,0.8659,0.9257,0.8791
29137_anat,0.8691,0.7966,0.8432,0.8594,0.8574,0.8559,0.9349,0.8587
29580_anat,0.8644,0.7798,0.8349,0.8746,0.8595,0.8714,0.9103,0.8859
29581_anat,0.8702,0.7701,0.7910,0.8790,0.8877,0.8824,0.9067,0.9012
29582_anat,0.8584,0.7663,0.7000,0.8634,0.8555,0.8541,0.9251,0.8924
29583_anat,0.8649,0.7676,0.8462,0.8763,0.8939,0.8705,0.9046,0.8838
29584_anat,0.8225,0.7582,0.7207,0.8793,0.8543,0.8381,0.9185,0.8452
29585_anat,0.8490,0.7594,0.8561,0.8847,0.8884,0.8765,0.9026,0.8729
29586_anat,0.8498,0.7667,0.7271,0.8731,0.8837,0.8433,0.9160,0.8896
29587_anat,0.8134,0.7519,0.6882,0.8853,0.8711,0.8442,0.9168,0.8523
29588_anat,0.8624,0.7865,0.7945,0.8853,0.8831,0.8693,0.9290,0.8822
29589_anat,0.8660,0.7633,0.8050,0.8977,0.8928,0.8904,0.9300,0.9075
29590_anat,0.8372,0.7655,0.8043,0.8658,0.8838,0.8636,0.9288,0.8785
29591_anat,0.7965,0.7631,0.7271,0.9038,0.8572,0.8193,0.8962,0.8350
29592_anat,0.8606,0.7821,0.8278,0.9082,0.8923,0.8852,0.8988,0.8879
29593_anat,0.8562,0.7559,0.8063,0.8976,0.8857,0.8663,0.9021,0.8795
29594_anat,0.8839,0.7904,0.7066,0.8707,0.9018,0.8640,0.9198,0.8946
29595_anat,0.8477,0.7617,0.7595,0.8697,0.8803,0.8683,0.9156,0.8771
29596_anat,0.8331,0.7679,0.7722,0.8749,0.8511,0.8412,0.8967,0.8512
29597_anat,0.8589,0.7820,0.7979,0.8909,0.8694,0.8511,0.9229,0.8957
29598_anat,0.8680,0.7807,0.8482,0.8923,0.8934,0.8863,0.9150,0.8795
29599_anat,0.8290,0.7001,0.7845,0.8067,0.7697,0.8480,0.8961,0.8473
29600_anat,0.8756,0.7821,0.7340,0.8786,0.8619,0.8694,0.9300,0.8778
29601_anat,0.8527,0.7707,0.8790,0.8949,0.8869,0.8684,0.9182,0.8667
29602_anat,0.8686,0.7718,0.7038,0.8829,0.8779,0.8683,0.9219,0.8847
29603_anat,0.8519,0.7839,0.7377,0.8912,0.8820,0.8565,0.9421,0.8746
29604_anat,0.8386,0.7531,0.7343,0.8859,0.8803,0.8415,0.9173,0.8761
29605_anat,0.8676,0.7635,0.8594,0.9008,0.8742,0.8845,0.9153,0.8813
29606_anat,0.8453,0.7655,0.8047,0.8558,0.8474,0.8549,0.9403,0.8566
29607_anat,0.8562,0.7686,0.7655,0.8645,0.8688,0.8541,0.9137,0.8769
29608_anat,0.8536,0.7775,0.8788,0.8952,0.8835,0.8773,0.9227,0.8656
29609_anat,0.8445,0.7818,0.7639,0.8672,0.8606,0.8477,0.9032,0.8632
29610_anat,0.8549,0.7760,0.8157,0.8749,0.8508,0.8638,0.8954,0.8732
29611_anat,0.8663,0.7711,0.7260,0.8801,0.8782,0.8530,0.9032,0.8818
29612_anat,0.8385,0.7556,0.7968,0.8768,0.8764,0.8664,0.9232,0.8785
29613_anat,0.8540,0.7725,0.8172,0.9089,0.8592,0.8680,0.9062,0.8751
29614_anat,0.8447,0.7953,0.8357,0.9021,0.8765,0.8636,0.9206,0.8637
29615_anat,0.8446,0.7765,0.7622,0.8580,0.8701,0.8672,0.9109,0.8579
29616_anat,0.8405,0.7489,0.6434,0.8696,0.8847,0.8468,0.9193,0.8811
29617_anat,0.6760,0.6217,0.1144,0.0214,0.0359,0.0227,0.0335,0.0642
29618_anat,0.8656,0.7768,0.8012,0.8977,0.9048,0.8792,0.9089,0.9110
29619_anat,0.8344,0.7611,0.8327,0.8737,0.9075,0.8781,0.9129,0.8754
29620_anat,0.8425,0.7416,0.7155,0.8751,0.8650,0.8438,0.9304,0.8651
29621_anat,0.8078,0.7561,0.6566,0.8764,0.8606,0.8300,0.9141,0.8329
29622_anat,0.8384,0.7758,0.7121,0.8865,0.8810,0.8500,0.9378,0.8474
29623_anat,0.8330,0.7690,0.8618,0.9294,0.9004,0.8788,0.8940,0.8758
29624_anat,0.8393,0.7699,0.7043,0.8805,0.8752,0.8468,0.9114,0.8629
29625_anat,0.8489,0.7615,0.8742,0.8679,0.8911,0.8725,0.9098,0.8770
29626_anat,0.8297,0.7492,0.6707,0.8623,0.8759,0.8254,0.9157,0.8581
29627_anat,0.8577,0.7615,0.8513,0.8714,0.8963,0.8832,0.9174,0.8825
29628_anat,0.8297,0.7423,0.7332,0.9166,0.8550,0.8373,0.9119,0.8589
29629_anat,0.8301,0.7589,0.7490,0.8451,0.8638,0.8544,0.9064,0.8722
29630_anat,0.8286,0.7469,0.8411,0.8766,0.8686,0.8607,0.9120,0.8201
29631_anat,0.8542,0.7682,0.8501,0.8807,0.8862,0.8763,0.9073,0.8694
